@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE UNARY NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,10.9159,1.1178,0.265,0.6552,0.71,0.0782,15.6807,0.0124,1.0967,0.6646,22.2967,0,2.2552,0.8082,23.9398,21294,0.1022,0.6491,21294,0.105,0.6249,0.0293,0.0093,0.9218,0.0093,37.8226,0.0008,37.9667,3.5574,38.1864,38.1864,37.891,0.0124,2.1457,37.8226,0.689,38.1864,0.9949,37.8226,3,0.0149,0.2395,200,0.1566,2,?,?,?,4.9846,0.01,0.0026,0.1083,0.0219,79.5266,0.2854,69,0.0081,0.357,0.2115,0.127,0.8411,79.5,0.9811,0
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,6.7141,0.1728,0.1668,0.6053,0.1227,0.0097,5.7333,0,0.017,0.0908,1.8382,0,0.0005,0.7036,1.031,29282,0.3918,0.0445,29282,0.1176,0.0429,0.1301,0.0029,0,0.0029,19.2126,0.0004,20.5678,1.6542,21.4716,21.7036,20.9786,0.0018,2,18.2995,0.1459,21.7036,0.9299,18.2995,2,0.0718,0.0569,85,0.027,2,?,?,?,1.318,0.1017,0.0821,0.2069,0.1176,8.9216,0.0632,7,0.0011,0.2366,0.3851,0.0163,0.0919,9,0.1732,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,23.3456,0.18,0.1884,0.7026,0.6901,0.0915,34.2936,0,1.0759,0.6469,21.2099,0,2.4238,0.7939,23.5432,41426,0.1062,0.6431,41426,0.0514,0.6343,0.0159,0.008,0.9085,0.0073,49.8067,0.0005,51.5407,2.9895,51.5394,58.886,50.7683,0.0065,2.9923,48.9554,0.6566,62.3743,0.9948,47.2687,3,0.1709,0.2615,389,0.1594,2,?,?,?,4.8805,0.0052,0.002,0.0742,0.0117,150.613,0.2313,136,0.0047,0.3714,0.1851,0.1254,0.8131,150,0.9785,0
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,22.5385,6.5188,0.9589,0.7613,0.832,0.9439,207.891,0.9439,1.6272,0.8219,35.6272,0.0417,7.5434,0.8762,41.2197,111739,0.019,0.8116,109920,0.0348,0.7761,0.0042,0.003,0.9439,0.0014,47.1034,0.0007,51.4256,2.7898,52.022,67.3557,50.387,0.0024,3,45.5938,0.8322,69.625,0.9992,44.0117,3,0.2533,0.2128,1375,0.0408,3,?,?,?,5.3062,0.0011,0.001,0.1312,0.0025,600.188,0.1807,588,0.0014,0.2033,0.1013,0.0811,0.3544,607,0.8837,0
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,7.0228,0.2451,0.2313,0.6708,0.5832,0.675,4.0352,0.8333,0.4472,0.5831,1.1006,0,0.0001,0.8324,0.5805,480,0.0001,0.5831,480,0.025,0.5831,0.0125,0.0249,0.8333,0.0208,34.8915,0.0021,36.3925,0,38.0412,40.9846,36.5026,0.0125,4.4774,32.4055,0.5832,40.9846,0.9311,32.4055,5,0.0088,0,200,0,4,0.4,0.0139,0.0417,0,0.0125,0.0293,0.1226,0.0125,51.967,0.3333,44,0.0073,0.3081,0.2001,0.3333,0.3333,52,0.5833,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,24.2363,0.2167,11.8928,0.8729,0.8878,0.972,11.9732,0.972,1.8403,0.8761,31.1851,0.039,3.8924,0.9554,31.8335,45238,0.0203,0.8649,44572,0.0811,0.8144,0.0063,0.0144,0.972,0.0144,67.0736,0.0014,68.9673,2.9852,78.5192,78.5192,73.2541,0.0047,2,57.0222,0.8904,78.5192,1.0019,57.0222,2,0.755,0.2101,666,0.067,2,?,?,?,4.7883,0.0022,0.0463,0.0472,0.0044,297.141,0.3759,279,0.003,0.2524,0.142,0.2021,0.5072,298,0.9225,0
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,14.8967,0.0905,0.078,0.8259,0.7476,0.875,14.2288,0.875,1.186,0.7475,3.4182,0,0.0018,0.8672,2.5406,1800,0.0002,0.7474,1800,0.0667,0.7473,0.0161,0.0889,0.875,0.0889,72.2519,0.0078,76.9212,0,83.7463,83.7463,74.7654,0.0078,3,72.2519,0.7476,83.7463,0.9817,72.2519,3,0.0047,0,225,0,3,0.0645,0.0292,0.1167,0,0.0161,0.0072,0.0956,0.0161,83.4249,0.0345,73,0.0078,0,0.1305,0.0345,0.0345,83,0.7478,0
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,8.3109,0.0746,0.0956,0.7824,0.6722,0.8182,7.8199,0.8182,0.8932,0.6721,2.5267,0,0.0012,0.8174,2.0526,550,0.0001,0.6721,550,0.1,0.672,0.0345,0.1291,0.8182,0.1291,34.2412,0.0164,34.2879,0,35.387,35.387,34.7516,0.0164,3,32.7716,0.6722,35.387,0.9743,32.7716,3,0.0024,0,100,0,3,0.0952,0.0595,0.1636,0,0.0345,0.0166,0.1518,0.0345,32.8031,0.0526,26,0.0164,0,0.1682,0.0526,0.0526,33,0.6724,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,50.1405,0.2747,13.6648,0.8406,0.8774,0.9668,14.5795,0.9668,1.8272,0.8687,33.2679,0.0387,3.7055,0.9515,36.4759,50773,0.0218,0.8555,50102,0.0805,0.7881,0.0062,0.0129,0.9668,0.0129,66.3086,0.0014,69.9892,2.8638,76.3785,76.3785,67.2804,0.0043,2,66.3086,0.8792,76.3785,0.996,66.3086,2,0.6173,0.1947,671,0.0628,2,?,?,?,4.6442,0.0023,0.058,0.0742,0.0046,301.095,0.323,282,0.003,0.2179,0.1199,0.1,0.4657,303,0.9205,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,10.558,3.9613,0.2858,0.6994,0.7059,0.0831,17.5204,0.003,1.105,0.6578,22.543,0,2.3397,0.8173,24.7775,22023,0.1015,0.6446,22023,0.104,0.6291,0.0296,0.0091,0.9169,0.009,40.5477,0.0009,45.7407,3.3642,49.049,49.049,47.6253,0.0125,2.1144,40.5477,0.6842,49.049,0.9951,40.5477,3,0.0179,0.2483,202,0.1559,2,?,?,?,4.9607,0.01,0.0025,0.1008,0.0222,79.8959,0.2552,69,0.0086,0.3595,0.2134,0.1283,0.8273,80,0.9816,0
