@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE VG_max NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,0.0004,2786.38,56.4,62536,0.0002,0.0002,63000,109.1667,63,36,0.0006,3187,3174.92,0,5,74.1818,79.3077,0.2304,3217,3221,3167,14607,3132,0.0135,0.0001,13,64.8077,0.0894,49.5,783.125,0.5537,0.0011
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,0.0058,151.591,34.3506,2973,0.0044,0.0044,2982,40.6055,35.3213,33.1688,0.0098,152,151.736,0.001,4,38.2519,40.6055,0.2994,163,164,152,692,140,0.0655,0.0022,3711,36.1175,0.2811,33.1688,28.7795,0.3567,0.0188
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,0.0091,97.803,24.2236,1907,0.0069,0.0069,1917,29.0163,25.7924,23.5001,0.0147,98,97.759,0.0026,4,27.694,29.0163,0.3212,107,107,98,439,88,0.0742,0.0034,4036,25.9144,0.3571,23.5001,16.9488,0.3659,0.0288
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,0.0175,65.768,54.2262,34000,0.0175,0.0175,34000,66.8647,57.2143,51.6173,0.0194,65,65.7976,0.0154,2,60.6076,65.0226,0.6048,75,76,65.5,400,56,0.109,0.0011,93,57.7886,0.9441,52.451,33.2124,0.4339,0.0117
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,0.0778,15.3984,31.7124,8010,0.0778,0.0778,8010,32.4376,31.7829,30.8879,0.0841,15,15.4183,0.0699,2,32.4376,32.4376,0.6615,19,19,15,90,12,0.1904,0.0049,4527,31.7052,1.6974,30.8879,10.5034,0.4046,0.0111
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,0.14,8.8815,19.7482,4450,0.14,0.14,4450,20.3076,19.8762,19.6339,0.1501,9,8.9003,0.1312,2,19.9622,20.3076,0.7054,12,12,9,50,6,0.2308,0.0089,4601,19.9056,1.9658,19.6339,6.8357,0.423,0.011
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,0.004,239.251,56.5625,25000,0.004,0.004,25000,78.7619,61.0385,45.907,0.0058,240,238.281,0.0027,3,65.3429,70.5217,0.4728,255,255,239,1250,223,0.0895,0.0007,37,61.3601,0.3383,53.5484,68.0332,0.776,0.0184
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,0.0074,120.957,28.8614,2337,0.0055,0.0055,2343,37.2312,29.5637,26.9066,0.0116,121,120.724,0.0021,4,34.7504,37.2312,0.3111,131,132,121,544,110,0.0713,0.0028,3906,30.9712,0.3202,26.9066,16.9422,0.3846,0.0218
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.1,12.1057,25.8541,6230,0.1,0.1,6230,26.2427,25.9741,25.4551,0.1104,12,12.1768,0.0894,2,26.2046,26.2427,0.6771,15,15,12,70,9,0.2097,0.0069,4496,25.9461,1.8323,25.4551,8.7252,0.4218,0.0111
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,0.0077,172.325,28.6412,3387,0.0039,0.0039,3408,40.1961,30.6303,26.0026,0.0097,172,171.73,0.0015,4,37.9676,40.0484,0.299,185,184,172,779,159,0.0652,0.0019,2697,32.4931,0.2634,26.6508,24.6923,0.4266,0.0192
