@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,10.9159,1.1178,0.265,0.6552,0.71,0.0782,15.6807,0.0124,1.0967,0.6646,22.2967,0,2.2552,0.8082,23.9398,21294
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,6.7141,0.1728,0.1668,0.6053,0.1227,0.0097,5.7333,0,0.017,0.0908,1.8382,0,0.0005,0.7036,1.031,29282
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,23.3456,0.18,0.1884,0.7026,0.6901,0.0915,34.2936,0,1.0759,0.6469,21.2099,0,2.4238,0.7939,23.5432,41426
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,22.5385,6.5188,0.9589,0.7613,0.832,0.9439,207.891,0.9439,1.6272,0.8219,35.6272,0.0417,7.5434,0.8762,41.2197,111739
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,7.0228,0.2451,0.2313,0.6708,0.5832,0.675,4.0352,0.8333,0.4472,0.5831,1.1006,0,0.0001,0.8324,0.5805,480
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,24.2363,0.2167,11.8928,0.8729,0.8878,0.972,11.9732,0.972,1.8403,0.8761,31.1851,0.039,3.8924,0.9554,31.8335,45238
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,14.8967,0.0905,0.078,0.8259,0.7476,0.875,14.2288,0.875,1.186,0.7475,3.4182,0,0.0018,0.8672,2.5406,1800
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,8.3109,0.0746,0.0956,0.7824,0.6722,0.8182,7.8199,0.8182,0.8932,0.6721,2.5267,0,0.0012,0.8174,2.0526,550
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,50.1405,0.2747,13.6648,0.8406,0.8774,0.9668,14.5795,0.9668,1.8272,0.8687,33.2679,0.0387,3.7055,0.9515,36.4759,50773
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,10.558,3.9613,0.2858,0.6994,0.7059,0.0831,17.5204,0.003,1.105,0.6578,22.543,0,2.3397,0.8173,24.7775,22023
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,5.0736,0.4149,0.4312,0.4676,0.0251,0.3424,4.458,0.0047,0.2548,0.0007,1.2997,0.3957,1.0607,0.934,0.9793,954
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,2.7912,0.3258,0.5579,0.7878,0.0281,0.4888,1.1161,0,0,0.0026,0.6854,0,0.0432,0.9625,0.4058,356
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,10.4022,0.1753,0.1789,0.5127,0.1157,0.0105,9.7488,0,0.0165,0.0886,1.1552,0,0.0024,0.6443,0.6999,55222
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,20.037,0.5229,0.0108,0.774,0.4251,0.7538,20.6012,0.0152,0.5846,0.4251,11.6955,0.3333,0.0011,0.8664,11.5795,48480
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,138.3,0.4272,0.3587,0.4517,0.7946,0.7188,196.581,0.9443,0.4568,0.7644,2.4735,0,0.1079,0.7013,2.9634,43754
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,3.62,0.3709,0.3712,0.6533,0.0696,0.231,2.9395,0,0.1105,0.0355,1.8582,0,0.3152,0.7689,1.4998,420
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,1242.18,4.5569,5.1787,0.7814,0.8304,0.9523,184.575,0.9523,1.8079,0.791,44.9564,0.0345,12.1838,0.8974,51.7307,215164
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,1273.77,3.8441,3.5006,0.9186,0.9761,0.9829,5744.47,0.9829,2.4667,0.9785,97.7881,0.0209,1.5082,0.9574,99.2626,498568
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,373.5,1.066,1.3271,0.0566,0.0192,0.2613,822,0.0073,0.0583,0.0001,0.2524,1.0256,0.2287,0.1106,0.2318,123900
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,47.1391,3.9242,4.5011,0.7325,0.4081,0.7532,45.6368,0.013,0.5836,0.408,11.9471,0.3333,0.0018,0.8098,10.8717,64155
