@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,0.0004,2786.38,56.4,62536,0.0002,0.0002,63000,109.1667,63,36,0.0006,3187,3174.92,0,5,74.1818
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,0.0058,151.591,34.3506,2973,0.0044,0.0044,2982,40.6055,35.3213,33.1688,0.0098,152,151.736,0.001,4,38.2519
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,0.0091,97.803,24.2236,1907,0.0069,0.0069,1917,29.0163,25.7924,23.5001,0.0147,98,97.759,0.0026,4,27.694
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,0.0175,65.768,54.2262,34000,0.0175,0.0175,34000,66.8647,57.2143,51.6173,0.0194,65,65.7976,0.0154,2,60.6076
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,0.0778,15.3984,31.7124,8010,0.0778,0.0778,8010,32.4376,31.7829,30.8879,0.0841,15,15.4183,0.0699,2,32.4376
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,0.14,8.8815,19.7482,4450,0.14,0.14,4450,20.3076,19.8762,19.6339,0.1501,9,8.9003,0.1312,2,19.9622
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,0.004,239.251,56.5625,25000,0.004,0.004,25000,78.7619,61.0385,45.907,0.0058,240,238.281,0.0027,3,65.3429
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,0.0074,120.957,28.8614,2337,0.0055,0.0055,2343,37.2312,29.5637,26.9066,0.0116,121,120.724,0.0021,4,34.7504
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.1,12.1057,25.8541,6230,0.1,0.1,6230,26.2427,25.9741,25.4551,0.1104,12,12.1768,0.0894,2,26.2046
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,0.0077,172.325,28.6412,3387,0.0039,0.0039,3408,40.1961,30.6303,26.0026,0.0097,172,171.73,0.0015,4,37.9676
