@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,5.7878,0.009,0.4947,0.4946,0.4944,0.4949,0.3918,1.3505,0.0005,1.7953,0.0097,0.0429,0.1301,0,0.4952,18.2995
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,9705,0.6075,0.1626,0.0576,0.007,0.2899,0.2671,1.2297,1.1702,19.355,0.6494,0,0.0013,0.0267,0.5,0
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,66.1096,0.8609,0.0334,0.0148,0,0.064,0.2509,0.9606,1.158,8.6144,0.9093,0.0146,0.0037,0,0.099,25.887
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,16.041,2.5476,0.4999,0.4995,0.4909,0.5,0.2306,2.9418,0.3429,0.8134,0.1152,0,0.6034,0.2206,1,11.8763
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,11.7438,0.1369,0,0,0,0,0.0212,0.8223,3.1726,39.6578,0.7118,0.8382,0.0058,0.0118,0.0001,57.779
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1.0687,0,0.3207,0.3197,0.3145,0.3213,1.4096,0,0.0544,0.9011,0.5,0.0001,0.0459,0,0.3227,15.0611
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,27.3511,0.2605,0,0,0,0,0.0195,0.2431,8.7813,27.0562,0.9349,0.7637,0.0057,0.0201,0,44.1493
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,130.764,1.0494,0.2564,0.028,0.0206,0.3099,0.331,1.1159,1.1336,1.3762,0.6497,0.0004,0.0056,0,0.3668,18.8218
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,12.2429,0.187,0,0,0,0,0.0202,0.8872,3.2712,34.3686,0.7267,0.8333,0.0059,0.013,0,58.1329
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,14.0495,0.8565,0.0222,0.011,0.0043,0.0451,0.4123,0.7312,1.2079,4.0415,0.0646,0.0016,0.0258,0.2192,0.1319,21.5996
