@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,5.7878,0.009,0.4947,0.4946,0.4944,0.4949,0.3918,1.3505,0.0005,1.7953,0.0097,0.0429,0.1301,0,0.4952,18.2995,0,0,1.0475,0.0445,29282,0.017,1.318,20.7031,0.1593,0.0908,0.8047,0.2457,18.2995,0.4946,2,0.0004
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,9705,0.6075,0.1626,0.0576,0.007,0.2899,0.2671,1.2297,1.1702,19.355,0.6494,0,0.0013,0.0267,0.5,0,0,0.8587,21.4704,0.4958,1711065,0.8254,5.5801,0,0.9864,0.7927,1.0218,0.467,0,0.1056,6.6667,0
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,66.1096,0.8609,0.0334,0.0148,0,0.064,0.2509,0.9606,1.158,8.6144,0.9093,0.0146,0.0037,0,0.099,25.887,0,0.6918,6.6262,0.6262,37237,0.5166,2.5799,29.0986,0.9738,0.7431,0.4072,0.7822,25.887,0.0216,5.7407,0.0001
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,16.041,2.5476,0.4999,0.4995,0.4909,0.5,0.2306,2.9418,0.3429,0.8134,0.1152,0,0.6034,0.2206,1,11.8763,0,0.0905,0.1889,0.5308,8013,0.4259,3.3497,13.8079,0.7998,0.6647,0.8986,0.289,11.5542,0.4485,4.444,0
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,11.7438,0.1369,0,0,0,0,0.0212,0.8223,3.1726,39.6578,0.7118,0.8382,0.0058,0.0118,0.0001,57.779,0,0.9756,40.4693,0.8685,66810,1.9114,4.5707,59.4153,0.9115,0.8879,1.0161,0.4897,57.499,0,2,0.0007
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1.0687,0,0.3207,0.3197,0.3145,0.3213,1.4096,0,0.0544,0.9011,0.5,0.0001,0.0459,0,0.3227,15.0611,1,0,0.552,0.0016,196,0,0.3413,15.5123,0.0598,0.0047,0,1,15.0611,0.3124,5.3913,0.0153
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,27.3511,0.2605,0,0,0,0,0.0195,0.2431,8.7813,27.0562,0.9349,0.7637,0.0057,0.0201,0,44.1493,0.8,0.9349,32.0406,0.7887,61409,1.4631,4.8,50.6621,0.8206,0.7982,0.0236,0.9939,43.7621,0,3.0022,0.0011
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,130.764,1.0494,0.2564,0.028,0.0206,0.3099,0.331,1.1159,1.1336,1.3762,0.6497,0.0004,0.0056,0,0.3668,18.8218,0,0.1147,0.1621,0.3654,39932,0.7612,2.64,19.3202,0.9675,0.5653,0.4991,0.3999,18.4355,0.1115,5.7877,0
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,12.2429,0.187,0,0,0,0,0.0202,0.8872,3.2712,34.3686,0.7267,0.8333,0.0059,0.013,0,58.1329,0,0.9642,33.731,0.8555,69990,1.9953,4.8125,59.7424,0.8934,0.8659,1.0167,0.4874,56.5472,0,2,0.0005
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,14.0495,0.8565,0.0222,0.011,0.0043,0.0451,0.4123,0.7312,1.2079,4.0415,0.0646,0.0016,0.0258,0.2192,0.1319,21.5996,0.3333,0,2.024,0.2068,12647,0.4074,4.6596,22.1514,0.9033,0.4881,0.3529,0.8204,21.5996,0.018,3,0.0002
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,1019.67,0.2047,0,0,0,0,0.0842,0.1932,6.4664,43.5979,0.9519,0.59,0.0025,0.0124,0,56.8601,0.8333,0.9519,53.0447,0.7188,215164,1.8071,5.4935,57.2606,0.8802,0.7968,0.0143,0.9968,53.9396,0,3,0.0006
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,4.3879,0.4506,0.2295,0.2295,0.2295,0.2295,0.0001,1.1161,0.0001,1.0772,0.6117,0.5831,0.0114,0,0.2295,32.4793,0,0.8333,0.5588,0.5831,528,0.4472,0,34.9356,0.5832,0.5832,0.9821,0.478,32.4793,0.2295,4.6849,0
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,94,0.4533,0.0119,0.0085,0.0038,0.0232,0.1476,0.4809,1.2403,38.4923,0.9332,0.0022,0.0004,0,0.2259,0,0,0.8788,21.2439,0.9636,1884008,0.8469,2.8077,0,0.9935,0.9849,0.2326,0.9204,0,0.0108,5.4615,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0013,0.682,0.0046,0.0046,0.0046,0.0046,0.0001,0,0.0003,6.8948,0.7577,0.5026,0.0163,0.0408,0.0046,29.2469,1,0.0306,6.7881,0.5027,12240,0.592,0,29.2469,0.5028,0.5027,0,1,29.2469,0.0046,2,0.0082
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,5.1343,0.4109,0.0982,0.0655,0.0218,0.1116,0.0429,0.9766,0.6611,38.0219,0.4985,0.7289,0.0064,0.0003,0.1905,50.8289,0,0.0297,21.8594,0.8653,179315,1.4555,1.3924,59.4808,0.9277,0.8877,0.6408,0.4754,47.0143,0.0622,3.1351,0
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,11.5888,0,0.042,0.042,0.042,0.042,0,0.5623,0.0001,1.2135,0.5024,0,0.0143,0,0.042,26.1346,0.3333,0,0.4996,0,840,0,0,26.2191,0,0,0.5774,0.5,26.1346,0.042,6.0431,0.0036
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,3.1994,0,0.3832,0.3831,0.3831,0.3832,0,0.9882,0.0001,1.0493,0.2922,0,0.025,0,0.3833,21.3289,0,0,0.4919,0,640,0,0,22.1489,0,0,0.9265,0.3656,20.6901,0.3831,8.2453,0.0031
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,32.0559,0.2874,0,0,0,0,0.0218,0.2703,4.4549,24.1578,0.9256,0.7447,0.0064,0.0177,0,45.3485,0.8333,0.9256,28.4218,0.7684,43649,1.3923,4.7382,46.1742,0.802,0.7789,0.0277,0.9923,45.0544,0,3,0.0016
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,190.561,0.6154,0.0697,0.0665,0.0548,0.0698,1.3487,1.2804,0.2261,0.4409,0.3628,0,0.0074,0.1157,0.1012,28.2247,0,0.0451,0.2381,0,19785,0.1406,1.2642,55.1071,0.1343,0.0061,0.842,0.401,28.2247,0.0598,6.8981,0.0002
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,1.7432,1.54,0.4675,0.4293,0.361,0.4824,0.4894,2.402,0.2276,8.0375,0.0446,0.0088,0.2934,0.1312,0.4996,10.1159,0,0.0013,6.5323,0.1544,11604,0.2485,4.2116,11.0323,0.7167,0.2856,0.7077,0.3847,9.9442,0.4003,4.2025,0
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,24.5971,0.9833,0.0413,0.0269,0.0033,0.053,0.3375,1.117,0.7872,4.8371,0.8469,0.0923,0.005,0,0.0809,15.0009,0,0.5979,3.3667,0.2758,22887,0.577,2.8682,18.9517,0.9624,0.7421,0.4888,0.7047,13.7785,0.0259,5.7022,0.0002
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1.0871,0,0.3225,0.3217,0.314,0.3237,1.6635,0,0.0597,0.822,0.5,0.0001,0.0508,0,0.3245,16.0966,1,0,0.4951,0.0011,236,0,0.3057,17.1418,0.0685,0.0033,0,1,16.0966,0.3148,5.8661,0.0127
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,1.0062,0.3326,0.373,0.3662,0.3222,0.3786,0,1.1977,0.068,1.452,0.3233,0,0.069,0,0.3797,19.0963,0,0,1.2021,0,232,0.0782,0.6066,19.2363,0,0,0.8477,0.3879,19.0125,0.3561,5,0.0086
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,13.1448,1.091,0.0398,0.0345,0.0262,0.4198,0.1143,1.3824,1.797,6.2979,0.4329,0.0003,0.0278,0.4619,0.9774,32.3552,0,0.3387,4.528,0.7446,14889,0.4589,3.1953,33.1216,0.9234,0.8135,0.9132,0.4093,32.3552,0.0834,3.88,0
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,2.8108,0,0.3832,0.3831,0.3831,0.3832,0,1.0038,0.0001,1.1033,0.2946,0,0.0286,0,0.3832,22.0862,0,0,0.5264,0,560,0,0,22.3787,0,0,0.9544,0.3643,20.7128,0.3831,7,0.0036
