@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0,0.2387,3.1176,0,0.1604
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0,0.135,2.4849,0.0006,0.1209
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0,0.0097,0.9857,0.0004,0.018
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0,0.4831,4.1231,0,0.2696
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0,0.2206,3.6748,0.0017,0.1792
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0,0.0194,0.8461,0.0001,0.0385
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0,0.1713,2.8827,0,0.1496
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0014,0.3855,3.9796,0.0001,0.297
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.4428,4.0721,0,0.2523
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0,0.1568,2.1233,0.0001,0.1801
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0,0.1168,2.0429,0,0.1379
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0,0.0441,1.302,0,0.0643
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0,0.2388,3.1522,0,0.1578
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0003,0.147,1.9719,0.0001,0.2553
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0007,0.221,2.8825,0.0005,0.238
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0.2625,2.8426,0,0.1638
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0,0.0735,1.9442,0.0003,0.1129
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0758,0.3877,1.471,0.0008,0.207
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,0.5002,4.0238,0,0.2372
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0,0.5141,4.0371,0,0.3273
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0,0.1496,3.0198,0,0.1655
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0,0.22,3.5936,0,0.1598
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0,0.2652,2.8925,0,0.1624
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0,0.0915,1.6082,0,0.0874
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0,0.5141,4.0371,0,0.3273
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0,0.0509,1.782,0.0032,0.0691
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0,0.061,2.0203,0,0.0712
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0,0.0501,1.7705,0.0024,0.0683
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.0003,0.4263,1.6649,0,0.326
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.2637,2.898,0,0.1634
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0,0.0726,2.7564,0,0.0605
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0,0.2625,2.821,0,0.1635
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0,0.2178,3.2658,0,0.1921
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0,0.3373,4.0219,0,0.2414
