@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?
bool/routing/s4-4-3-10.xml,1,52.294304,43.196203,46.186709,1.414214,1.414214,-1,100
bool/routing/s4-4-3-7.xml,1,52.413793,43.093596,46.187192,1.414214,1.414214,-1,100
bool/routing/s4-4-3-6.xml,1,52.866242,42.929936,46.072187,1.414214,1.414214,-1,100
bool/routing/s4-4-3-3.xml,1,52.09826,43.172979,45.957011,1.414214,1.414214,-1,100
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?
bool/routing/s4-4-3-2.xml,1,52.663934,43.002049,45.932377,1.414214,1.414214,-1,100
bool/routing/s4-4-3-8.xml,1,51.226994,44.355828,51.779141,1.414214,1.414214,-1,100
bool/routing/s4-4-3-9.xml,1,51.781473,43.349169,46.072842,1.414214,1.414214,-1,100
bool/routing/s4-4-3-4.xml,1,52.480916,43.082061,46.001908,1.414214,1.414214,-1,100
bool/routing/s3-3-3-5.xml,1,?,?,?,?,?,?,?
bool/routing/s4-4-3-5.xml,1,51.845018,43.284133,45.97786,1.414214,1.414214,-1,100
bool/routing/s4-4-3-1.xml,1,52.366864,43.106509,46.104536,1.414214,1.414214,-1,100
bool/ii/ii-16e2.xml,1,93.634079,3.819552,41.550796,1.414214,1.414214,-1,100
bool/ii/ii-8b1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-32c1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8d1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-16a1.xml,1,92.149586,4.710248,24.250642,1.414214,1.414214,-1,100
bool/ii/ii-32c3.xml,1,92.143058,4.714165,19.608561,1.414214,1.414214,-1,100
bool/ii/ii-8c2.xml,1,?,?,?,?,?,?,?
bool/ii/ii-32b4.xml,1,94.780107,3.131936,19.18208,1.414214,1.414214,-1,100
bool/ii/ii-16e1.xml,1,92.224096,4.665542,41.512085,1.414214,1.414214,-1,100
bool/ii/ii-32b2.xml,1,90.741398,5.555161,20.294431,1.414214,1.414214,-1,100
bool/ii/ii-32e5.xml,1,95.706531,2.576082,19.518013,1.414214,1.414214,-1,100
bool/ii/ii-32c2.xml,1,89.757302,6.145619,20.12752,1.414214,1.414214,-1,100
bool/ii/ii-8b3.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8a2.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8c1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-16d1.xml,1,92.820034,4.30798,30.768782,1.414214,1.414214,-1,100
bool/ii/ii-16c1.xml,1,91.245082,5.252951,30.442733,1.414214,1.414214,-1,100
bool/ii/ii-8b4.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8a1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-32e1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-32e3.xml,1,93.831776,3.700935,19.592523,1.414214,1.414214,-1,100
bool/ii/ii-16b2.xml,1,93.743095,3.754143,26.834913,1.414214,1.414214,-1,100
bool/ii/ii-32d2.xml,1,92.72989,4.362066,20.680223,1.414214,1.414214,-1,100
bool/ii/ii-32e2.xml,1,91.1384,5.31696,20.361766,1.414214,1.414214,-1,100
bool/ii/ii-8e2.xml,1,?,?,?,?,?,?,?
bool/ii/ii-16b1.xml,1,93.484163,3.909502,26.618401,1.414214,1.414214,-1,100
bool/ii/ii-32e4.xml,1,94.83518,3.098892,19.237955,1.414214,1.414214,-1,100
bool/ii/ii-16a2.xml,1,?,?,?,?,?,?,?
bool/ii/ii-32b3.xml,1,94.278198,3.433081,19.276554,1.414214,1.414214,-1,100
bool/ii/ii-8a3.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8e1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8a4.xml,1,?,?,?,?,?,?,?
bool/ii/ii-16d2.xml,1,93.712868,3.772279,30.915244,1.414214,1.414214,-1,100
bool/ii/ii-32b1.xml,1,?,?,?,?,?,?,?
bool/ii/ii-8d2.xml,1,?,?,?,?,?,?,?
