@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,93.0417,0,0.6925,0.0005
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.8086,0.001,0.5956,0.0072
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,5.9227,0,0.9599,0.0007
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.7975,0.0001,1.7457,0.0057
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,1.309,0,3.187,0.0074
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.5586,0.0001,1.7017,0.006
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.757,0,1.7597,0.0083
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,3.8009,0,3.0828,0.0022
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,62.0969,0,0.7131,0.0009
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,5.2044,0,0.9339,0.0005
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,1.0083,0.0001,2.5108,0.0101
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,1.355,0,1.6611,0.0033
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,84.2182,0,1.0806,0.0007
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,1.7395,0,1.9878,0.0029
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,2.9543,0,0.7789,0.0006
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,5.2484,0,2.4732,0.0037
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,3.5334,0.0065,0.4018,0.0585
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,1.1092,0,1.0172,0.0015
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,4.4065,0.0001,2.883,0.0187
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,4.9554,0,0.7146,0.001
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,678.568,0,1.8279,0.0155
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,531.114,0,4.3478,0.0149
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.881,0.0035,0.2847,0.0105
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,3.5658,0.0001,1.2345,0.0023
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,4.3624,0,0.7729,0.0002
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,1.7364,0,1.6857,0.0033
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,39.2044,0.0012,0.0846,0.0024
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,6.2939,0,2.3254,0.0052
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,1.0564,0.0076,0.2842,0.0212
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,4.0566,0,0.4483,0.0001
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,20.319,0,0.6914,0.0003
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,5.636,0,0.4918,0.0001
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,1.5541,0,1.9413,0.0046
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,65.5826,0,0.7146,0.0009
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.9858,0.0001,0.7561,0.0022
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.7541,0,1.9053,0.0048
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,264.872,0,1.3152,0.0103
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,8.4011,0,0.4307,0.0006
