@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.2943,0.2908,0.4013,0.007,0,32.318,40.813,0.0658,0.719,5.0606,47.405,0.8244,0.237,11,8,0
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.7597,2.0163,2.377,1.3544,0.1194,9.019,9.4949,0.3744,1.7696,7.4146,10.592,0.904,0.0277,138,89,0
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0156,0.112,0.1916,0,0,23.693,23.693,0,0.8309,2.789,24.738,0.8575,0.5591,4227,4227,0.0431
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,1.3191,6.6383,4.6846,0.014,0.6199,0,0,2.5312,1.3557,5,0,1.0494,0.4145,0,0,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.2932,0.2896,0.3998,0.0076,0,29.667,46.182,0.0653,0.7172,5.2043,57.6,0.8285,0.2391,5,4,0.0001
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.1936,0.4576,0.8917,0.2192,0,21.6,21.6,0.4074,0.7312,3,22.151,0.9689,0.3481,3790,3790,0.0077
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.2948,0.2911,0.3977,0.0057,0,30.211,43.478,0.0639,0.7103,5.0265,47.053,0.8223,0.2396,12,8,0
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.5132,0.5454,0.5361,0.6234,0.585,0,0,0.4804,1.3791,17.091,0,0.9973,0.2523,0,0,0
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.2355,0.7131,1.0258,1.1818,0.2219,9.2949,10.311,0.3027,1.2995,8.5016,14.214,0.8613,0.0786,568,495,0.0001
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,4.0607,6.6361,6.4636,0.0064,0.9679,0,0,2.9707,0.416,4,0,1.0181,0.2533,0,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,1.5958,1.8731,2.5162,0.6446,0.6339,0,0,2.4534,1.6811,12.597,0,0.9939,0.4208,0,0,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8326,1.065,1.2377,1.2495,0.4161,10.497,10.497,1.6766,1.3213,7.5977,11.558,0.8829,0.1102,550,550,0.0001
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.2462,0.5907,0.3127,0,0.8788,0,0,0.8469,0.4809,5.4615,0,0.9997,0.1986,0,0,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.2966,0.3002,0.3827,0.0062,0,22.295,22.295,0.073,0.7327,4,23.155,0.841,0.318,3849,3849,0.0045
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0.0398,0.1638,0,0,51.943,51.943,0,1.0093,2,52.702,0.8647,0.6357,3968,3968,0.0117
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0429,0.1388,0,0,23.922,23.922,0,0.9999,2,24.017,0.875,0.6863,4397,4397,0.0111
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,3.4014,5.6053,5.2206,0.0095,0.9475,0,0,2.5842,0.5625,3.8333,0,1.0128,0.2162,0,0,0
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.9218,0.5453,0.908,0.1157,0.0451,28.225,28.225,0.1406,1.2804,6.8981,55.107,0.7411,0.0498,730,730,0.0002
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.28,0.2856,0.3978,0.0028,0,25.819,25.819,0.0423,0.6081,4.0041,25.998,0.839,0.311,3768,3768,0.0047
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.0799,0.1231,0.437,0,0,19.013,19.096,0.0782,1.1977,5,19.236,0.7797,0.9971,3635,3428,0.0216
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.2938,0.2902,0.4017,0.0064,0,31,49.5,0.0635,0.711,5.6705,59.4,0.8508,0.2247,3,1,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.231,0,0.3559,0.0182,0.8121,29.059,29.059,0.9538,1.0987,3,29.123,0.995,0.8708,4779,4779,0.0455
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.082,0.0977,0.2305,0,0,46.089,50.038,0,0.835,3,54.667,0.8452,0.4764,33,27,0.0124
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,1.4341,1.5143,1.8133,1.2922,0.1229,9.0179,9.6053,0.385,1.7619,7.4831,10.56,0.9099,0.0333,245,206,0
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0,0.0408,0.1466,0,0,47.623,47.623,0,1.0012,2,47.79,0.868,0.6389,4032,4032,0.0117
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0206,0.0957,0.2359,0,0,27.587,27.587,0,0.8395,2.9922,28.54,0.8585,0.5494,4116,4116,0.0401
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.2929,0.2902,0.3962,0.007,0,31.717,34.978,0.0673,0.7277,4.9984,37.099,0.8336,0.2529,43,33,0.0004
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,1.6184,1.7985,2.1584,1.4117,0.1298,11.225,11.225,0.4106,1.8652,8.6176,11.875,0.8952,0.0328,118,118,0
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.5205,0.5379,0.5231,1.3917,0.5776,2.0133,2.0133,0.4291,1.3599,14.912,2.0133,1.0206,0.1311,75,75,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0864,0.0991,0.2278,0,0,47.333,54.559,0,0.829,3,57.294,0.8375,0.4732,24,17,0.0099
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0,0,0,0.0399,0.9822,0,0,2.3509,0,2,0,0.9996,1,0,0,0.0385
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.2766,0.2831,0.3916,0.0054,0,20.862,20.862,0.0578,0.6795,4,21.113,0.8459,0.3376,3882,3882,0.0074
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,1.4947,4.3842,2.5423,0.2126,0.1019,17.936,18.064,0.4536,2.9316,3.9475,19.521,0.9613,0.4373,641,256,0.0012
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0352,0.1715,0,0,25.094,25.094,0,0.9933,2,25.17,0.8723,0.6804,4360,4360,0.0111
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.0264,0.1023,0.2348,0,0,30.13,30.13,0,0.8085,3,30.66,0.8562,0.5421,4067,4067,0.0401
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.2279,0,0.3612,0.0055,0.897,59.106,59.106,1.4088,1.1095,3,61.49,0.997,0.9138,4715,4715,0.0152
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,1.3838,1.2435,2.2425,0.1402,0.0774,11.18,14.309,0.38,2.5461,4.871,15.347,0.9103,0.248,1377,668,0.0001
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.8863,0.9001,0.8177,0.1159,0.087,19.239,19.239,0.2145,1.4994,6.2006,19.324,0.837,0.4593,3574,3574,0.0027
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1199,0.3387,0.2092,0,0,17.346,17.346,0.1543,1.7119,6.0101,25.666,0.963,0.2232,1082,1082,0.0028
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,1.0531,1.1831,1.2688,0.6215,0.3246,93.951,93.951,0.4376,1.4348,22.153,136.72,0.8951,0.2717,1402,1402,0.0002
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0817,0.1006,0.2166,0,0,46.051,49.111,0,0.8332,3,51.931,0.8421,0.4771,38,30,0.0138
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.2874,0.2941,0.3663,0.0148,0,21.551,21.551,0.0579,0.6938,4,23.295,0.8472,0.3267,3818,3818,0.0057
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,1.6796,2.2849,2.1075,1.0977,0.2421,5.5053,5.9699,0.4194,1.8983,22.981,6.7131,0.9544,0.0683,397,114,0.0001
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,2.8301,4.4289,4.1397,0.003,0.2303,4.7206,7.5285,0.3548,1.2701,10.086,9.4639,0.9057,0.1108,247,238,0.0001
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0,0,0,0.037,0.9833,0,0,2.4435,0,2,0,0.9987,1,0,0,0.0357
