@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0,0.2387
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0,0.135
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0,0.0097
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0,0.4831
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0,0.2206
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0,0.0194
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0,0.1713
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0014,0.3855
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.4428
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0,0.1568
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0,0.1168
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0,0.0441
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0,0.2388
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0003,0.147
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0007,0.221
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0.2625
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0,0.0735
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0758,0.3877
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,0.5002
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0,0.5141
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0,0.1496
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0,0.22
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0,0.2652
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0,0.0915
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0,0.5141
