@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE csp_log_extra_bits NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE csp_percent_gac_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-VAR-entropy NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE csp_percent_ext NUMERIC
@ATTRIBUTE csp_dyn_log_nodes NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE csp_max_arity NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE support_horn-clauses-fraction NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE direct_VG-min NUMERIC
@ATTRIBUTE support_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE support_BINARY+ NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE direct_BINARY+ NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_VG-coeff-variation NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE csp_percent_alldiff NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_nclausesOrig NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-entropy NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?,?,?,?,0.816869,?,0.944361,?,0.479653,0.660065,0.825556,?,2.628313,?,0.20904,?,3.651416,0.976668,0.324843,?,0.777778,0.567514,?,0,0.293021,2.585756,?,?,?,0.006536,?,0.001901,?,0.844536,0,0.004341,1.656538,0.000725,2.476587,0.536267,0.24905,0.536267,0.673224,?,0.751209,0.572062,0.751209,?,0.292424,2.31674,0,0.979207,0.38341,0.801513,0.499301,0.801513,19584,2.741564
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?,?,?,?,0.76434,?,0.930218,?,0.483508,0.651508,0.835832,?,2.610938,?,0.206463,?,3.484095,0.987506,0.328985,?,0.789474,0.579817,?,0,0.297583,2.546167,?,?,?,0.006461,?,0.00177,?,0.855477,0,0.004123,1.598451,0.00066,2.455032,0.545315,0.251374,0.545315,0.69182,?,0.754216,0.599616,0.754216,?,0.29602,2.284446,0,0.989001,0.392928,0.752187,0.512696,0.752187,20798,2.649289
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?,?,?,?,0.769644,?,0.924554,?,0.481471,0.656667,0.827353,?,2.595134,?,0.203573,?,3.620413,0.987059,0.32901,?,0.764706,0.573834,?,0,0.282691,2.471178,?,?,?,0.006307,?,0.001983,?,0.844462,0,0.004559,1.703235,0.000795,2.414206,0.532856,0.256471,0.532856,0.652395,?,0.750221,0.558529,0.750221,?,0.282438,2.248823,0,0.988341,0.38525,0.760522,0.485077,0.760522,18382,2.727812
bool/routing/s4-4-3-10.xml,1,52.294304,43.196203,46.186709,1.414214,1.414214,-1,100,-1,29.825949,-1,0.767897,-1,0.914008,100,0.462559,0.661915,0.844235,-1,2.646799,0,0.213428,22.250256,3.042629,0.98773,0.336567,47.705696,0.846154,0.559734,14.238703,0,0.321339,2.672379,-1,0,11.584023,0.001992,35,0.000371,12.319672,0.870071,0,0.001263,1.222393,0.000113,2.589215,0.551701,0.226453,0.551701,0.949205,12.544482,0.766356,0.815449,0.766356,-1,0.317192,2.34107,0,0.989765,0.397922,0.752484,0.695827,0.752484,98532,2.83351
bool/routing/s4-4-3-7.xml,1,52.413793,43.093596,46.187192,1.414214,1.414214,-1,100,-1,29.832512,-1,0.745359,-1,0.905148,100,0.449685,0.662032,0.83071,-1,2.603671,0,0.207762,22.330623,3.076241,0.990874,0.333778,47.586207,0.826087,0.56079,13.919794,0,0.29908,2.567531,-1,0,12.23721,0.002153,28,0.000455,12.000704,0.854457,0,0.001501,1.325718,0.000158,2.453363,0.526881,0.241808,0.526881,0.842843,12.225207,0.758938,0.732722,0.758938,-1,0.297968,2.208289,0,0.992154,0.388754,0.740949,0.606099,0.740949,75944,2.699489
bool/routing/s4-4-3-6.xml,1,52.866242,42.929936,46.072187,1.414214,1.414214,-1,100,-1,29.766454,-1,0.748011,-1,0.906368,100,0.443348,0.659588,0.826689,-1,2.591751,0,0.206536,22.338246,3.142299,0.990547,0.331598,47.133758,0.826087,0.562843,13.811776,0,0.295157,2.550192,-1,0,12.635038,0.002372,26,0.0005,11.890264,0.850278,0,0.00161,1.380052,0.000178,2.459983,0.519115,0.245513,0.519115,0.814901,12.120238,0.755553,0.715549,0.755553,-1,0.294703,2.203308,0,0.991833,0.386366,0.74537,0.582556,0.74537,69488,2.705066
bool/routing/s4-4-3-3.xml,1,52.09826,43.172979,45.957011,1.414214,1.414214,-1,100,-1,29.662231,-1,0.776151,-1,0.916379,100,0.447443,0.663327,0.827035,-1,2.607351,0,0.209201,22.453396,3.177639,0.985395,0.3309,47.90174,0.833333,0.558025,13.854284,0,0.299404,2.6054,-1,0,12.120886,0.002312,27,0.000488,11.938844,0.850968,0,0.001572,1.36466,0.000169,2.495726,0.523898,0.240749,0.523898,0.829021,12.160502,0.757162,0.719549,0.757162,-1,0.298627,2.247766,0,0.987416,0.385778,0.768292,0.596036,0.768292,72212,2.768094
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?,?,?,?,0.765146,?,0.933322,?,0.481201,0.646067,0.841616,?,2.602402,?,0.209304,?,3.416667,0.9879,0.329536,?,0.809524,0.584632,?,0,0.307091,2.596976,?,?,?,0.006579,?,0.001602,?,0.862785,0,0.004213,1.532627,0.000562,2.549873,0.550543,0.246327,0.550543,0.738036,?,0.755148,0.645619,0.755148,?,0.3046,2.360935,0,0.989517,0.397869,0.751018,0.544859,0.751018,23442,2.730888
bool/routing/s4-4-3-2.xml,1,52.663934,43.002049,45.932377,1.414214,1.414214,-1,100,-1,29.661885,-1,0.777142,-1,0.916689,100,0.448351,0.662973,0.827309,-1,2.609208,0,0.209541,22.390748,3.211032,0.985224,0.330922,47.336066,0.833333,0.558339,13.857592,0,0.300169,2.611825,-1,0,11.909518,0.002333,27,0.000493,11.938109,0.851284,0,0.001583,1.379749,0.00017,2.506381,0.524938,0.240369,0.524938,0.829477,12.166791,0.757404,0.71955,0.757404,-1,0.299301,2.259649,0,0.987276,0.386344,0.768839,0.597451,0.768839,72154,2.771955
bool/routing/s4-4-3-8.xml,1,51.226994,44.355828,51.779141,1.414214,1.414214,-1,100,-1,32.392638,-1,0.753923,-1,0.897477,100,0.436277,0.669053,0.806444,-1,2.493205,0,0.19902,22.166801,3.45073,0.989021,0.328171,48.773006,0.764706,0.552982,13.228819,0,0.262862,2.405508,-1,0,12.549785,0.002509,18,0.000766,11.326429,0.824459,0,0.002029,1.637232,0.000325,2.270791,0.488745,0.261575,0.488745,0.642607,11.537218,0.746465,0.571078,0.746465,-1,0.264899,2.068874,0,0.990043,0.3716,0.755399,0.465943,0.755399,44200,2.620721
