@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630,1.053282,1840,592.5,0.010986,0.282784,0.779554,3621,1.127011,1185,40,0.715889,20,5.249382,26333
adder-10-unsat-shuffled,1,3.134015,1630,0.377808,1858,761.5,0.001096,0.170238,0.854527,3649,1.144132,1523,4,0.843517,1,10.284932,40028
adder-12-sat-shuffled,1,3.16967,2364,1.053268,2664,861,0.009067,0.264487,0.790835,5270,1.144969,1722,48,0.713697,24,5.643748,40370
adder-12-unsat-shuffled,1,3.151899,2364,0.377757,2686,1100,0.000754,0.152968,0.867327,5304,1.1518,2200,4,0.844088,1,11.347597,63811
adder-14-sat-shuffled,1,3.179945,3234,1.053205,3640,1179.5,0.007719,0.248711,0.800826,7227,1.161432,2359,56,0.712195,28,6.029359,58115
adder-14-unsat-shuffled,1,3.164484,3234,0.377683,3666,1500.5,0.00055,0.138979,0.877979,7267,1.158068,3001,4,0.844524,1,12.400936,95074
adder-16-unsat-shuffled,1,3.173822,4240,0.377608,4798,1963,0.000419,0.127387,0.887007,9538,1.163311,3926,4,0.844867,1,13.448475,134769
Adder2-10-s-shuffled,1,1.313716,7829,0.217819,7969,2474.666667,0.726821,0.79594,0.556811,4295,0.882103,7424,7024,0.955042,5368,2.008692,23622
Adder2-4-s-shuffled,1,1.300598,1139,0.214947,1171,361.666667,0.72669,0.796548,0.556623,626,0.889488,1085,1021,0.958749,778,2.014947,3435
Adder2-6-c-shuffled,1,1.308137,2695,0.144914,2765,651.5,0.726373,0.797047,0.556468,1490,0.935331,2606,2421,0.948054,1842,2.156916,8155
Adder2-6-s-shuffled,1,1.308137,2705,0.216597,2765,856.666667,0.726783,0.79617,0.55674,1485,0.885224,2570,2426,0.956611,1852,2.011384,8160
adder-4-sat-shuffled,1,3,244,1.049057,280,87,0.030189,0.370044,0.729904,522,1.064863,174,16,0.741029,8,3.883019,3110
adder-6-sat-shuffled,1,3.091049,570,1.052423,648,205.5,0.019063,0.331842,0.75084,1247,1.086332,411,24,0.725786,12,4.399523,8039
adder-8-sat-shuffled,1,3.131849,1032,1.053136,1168,374,0.013937,0.30458,0.766531,2280,1.107439,748,32,0.719382,16,4.839721,15668
adder-8-unsat-shuffled,1,3.106599,1032,0.377768,1182,485,0.001737,0.192241,0.838756,2302,1.134441,970,4,0.842752,1,9.205818,22773
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700,0.306905,454,177,0.530691,0.681185,0.594819,161,0.93163,354,415,0.8538,621,1.792839,1930
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583,0.360902,376,138,0.506767,0.670363,0.598672,161,0.960283,276,337,0.835395,504,1.756391,1657
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843,0.317073,496,198,0.52492,0.679395,0.595453,199,0.90487,396,495,0.821564,744,1.78579,2331
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732,0.359375,422,161,0.50601,0.670968,0.598456,199,0.924728,322,421,0.805914,633,1.757212,2072
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219,0.367626,560,230,0.504317,0.668912,0.599193,340,0.855825,460,701,0.739047,1050,1.753957,3468
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142,0.369092,824,362,0.498561,0.667948,0.599539,597,0.798915,724,1213,0.689271,1836,1.752158,6073
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134,0.370066,822,361,0.501645,0.668132,0.599473,599,0.799128,722,1220,0.688503,1833,1.752467,6072
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135,0.369852,822,361,0.500412,0.668043,0.599505,595,0.798832,722,1215,0.688811,1833,1.751236,6060
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193,0.360387,762,281,0.503351,0.670829,0.598505,320,0.958231,562,676,0.832761,1023,1.760238,3345
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188,0.359643,764,282,0.509308,0.6715,0.598265,317,0.957911,564,684,0.833274,1026,1.760238,3343
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469,0.360961,844,322,0.504505,0.669618,0.59894,399,0.924562,644,840,0.803871,1266,1.757958,4149
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431,0.367207,1119,459.5,0.505586,0.668675,0.599278,678,0.85612,919,1403,0.739676,2097,1.754595,6925
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453,0.367398,1122,461,0.50018,0.668191,0.599452,676,0.855337,922,1390,0.739045,2103,1.753508,6933
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431,0.262821,278,114,0.549145,0.692308,0.590909,81,0.91021,228,257,0.866003,387,1.824786,1144
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296,0.369369,188,69,0.501502,0.671371,0.598311,81,0.959704,138,167,0.825251,252,1.753754,829
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428,0.246253,278,114,0.537473,0.692878,0.59071,80,0.909398,228,251,0.885443,387,1.82227,1141
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359,0.288945,232,91,0.515075,0.683849,0.593878,80,0.927428,182,205,0.87033,318,1.791457,980
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421,0.248927,278,114,0.555794,0.693452,0.59051,79,0.910724,228,259,0.88254,387,1.824034,1138
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352,0.31701,226,88,0.525773,0.683099,0.594142,79,0.932175,176,204,0.843524,309,1.78866,956
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295,0.371601,188,69,0.501511,0.672764,0.597813,79,0.960079,138,166,0.823524,252,1.752266,823
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363,0.363855,210,80,0.510843,0.668821,0.599226,100,0.923705,160,212,0.801048,315,1.751807,1033
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422,0.3159,252,101,0.541841,0.680912,0.594915,100,0.90287,202,259,0.819883,378,1.786611,1180
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366,0.362981,210,80,0.504808,0.670968,0.598456,101,0.924831,160,210,0.802365,315,1.754808,1036
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604,0.366522,278,114,0.505051,0.668919,0.59919,171,0.856118,228,350,0.740994,522,1.751804,1729
