@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.392949,4,0,808,0,0,12.148515,4,6.074257,0.164629,2,0,0,0,4,2.997733,0,2,0,12.148515,0,0,2
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.271714,5,0,1410,0,0,23.028369,4.643856,11.514184,0.086849,2.321928,0,0,0,4.643856,5.028743,0,2,0,23.028369,0,0,2.321928
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.688786,5,0,400,0,0,8.65,4.643856,4.325,0.231214,2.321928,0,0,0,4.643856,2.712249,0,2,0,8.65,0,0,2.321928
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.638606,4,0,268,0,0,6.925373,4,3.462687,0.288793,2,0,0,0,4,2.049091,0,2,0,6.925373,0,0,2
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.790584,3,0,168,0,0,3.928571,3.169925,1.964286,0.509091,1.584963,0,0,0,3.169925,0.83827,0,2,0,3.928571,0,-1,1.584963
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.357065,4,0,2388,0,0,13.18593,4,6.592965,0.151677,2,0,0,0,4,2.650763,0,2,0,13.18593,0,0,2
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.585998,4,0,1124,0,0,7.44484,4,3.72242,0.268642,2,0,0,0,4,1.588719,0,2,0,7.44484,0,0,2
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.267799,3,0,1791,0,0,13.18593,3.169925,6.592965,0.151677,1.584963,0,0,0,3.169925,2.650763,0,2,0,13.18593,0,-1,1.584963
normalized-37s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.380231,1.942857,0,2312,0.119471,0,6.746218,2.649652,2.535294,0.394432,0.996886,1.109068,0,0,11,2.449867,0.315997,2.660921,0,6.378151,0.660386,0.031238,1
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.31051,5,0,3035,0,0,20.879736,4.643856,10.439868,0.095787,2.321928,0,0,0,4.643856,3.833265,0,2,0,20.879736,0,0.000001,2.321928
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.248408,4,0,2428,0,0,20.879736,4,10.439868,0.095787,2,0,0,0,4,3.833265,0,2,0,20.879736,0,0,2
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.181949,4,0,3408,0,0,28.640845,4,14.320423,0.06983,2,0,0,0,4,5.055056,0,2,0,28.640845,0,0,2
