@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE CG_min NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0,0.2387,3.1176,0,0.1604,20786,0,0.617,0,0,0,0,93490,0.5964,0.7857,2.5426,2.8918,0.5959,0,0.0301,0.0001,0.2114,616629,0.5311,0.0001,0.1516,0.8261,0.0001,0.0134,0.9564,0.967,?
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0,0.135,2.4849,0.0006,0.1209,60.47,0.0013,0.8864,0.0001,0.0015,0.0015,0.0009,2106,1.5385,0.9171,0.151,2.7096,0.5504,0.0073,0.0241,0.0162,0.0732,14230,1.5995,0.01,0.148,0.7037,0.0114,0.0163,0.9738,0.9593,0.0006
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0,0.0097,0.9857,0.0004,0.018,94.0605,0.0003,0.0021,0.0001,0.0035,0.0035,0.0013,1600,0.9107,0.0363,0.25,2.9039,0.6498,0.0011,0.1391,0.0092,0.1504,19440,0.7779,0.0016,0.0823,0.1,0.005,0.0684,0.1875,1.6459,?
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0,0.4831,4.1231,0,0.2696,1500390,0,0.9987,0,0,0,0,483003,13.386,1,0.0781,4.354,1.3035,0.0083,0.2415,0.0165,0.5,13262068,9.197,0.0089,0.0364,1,0.0138,0.0571,1,0.9339,?
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0,0.2206,3.6748,0.0017,0.1792,50.7781,0.0007,0.851,0,0.0031,0.0031,0.0019,1047,1.3945,0.897,0.3878,3.8663,1.0757,0.0357,0.0896,0.0792,0.4564,11329,1.178,0.0718,0.0924,0.75,0.0248,0.0287,0.9965,0.9607,?
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0,0.0194,0.8461,0.0001,0.0385,1727.41,0,0.006,0,0.0002,0.0002,0.0001,19903,0.5099,0.0665,1.4463,2.571,0.5185,0.0002,0.0447,0.0005,0.2106,115706,0.4984,0.0002,0.172,0.4,0.0003,0.0308,0.7622,0.921,0.0001
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0,0.1713,2.8827,0,0.1496,1307.17,0,0.6142,0,0.0001,0.0001,0.0001,32750,2.0163,0.7335,4.9941,2.9961,1.7597,0.0071,0.1457,0.0142,0.4444,247614,2.377,0.0083,0.1323,0.9658,0.0015,0.0797,1,1.6206,?
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0014,0.3855,3.9796,0.0001,0.297,6414,0,0.808,0,0.0001,0.0001,0.0001,30713,1.1802,0.9971,0.1674,5.004,1.8786,0.0012,0.4959,0.0022,0.5,998052,1.2443,0.0107,0.0308,0.9394,0.0046,0.1745,1,0.8854,?
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.4428,4.0721,0,0.2523,16446,0,0.9963,0,0,0,0,84942,6.6383,0.9999,0.1323,4.3618,1.3191,0.0099,0.3595,0.0199,0.5,1789068,4.6846,0.0171,0.0475,1,0.0261,0.0924,1,0.9825,?
