@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,10.9159,1.1178
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,6.7141,0.1728
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,23.3456,0.18
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,22.5385,6.5188
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,7.0228,0.2451
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,24.2363,0.2167
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,14.8967,0.0905
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,8.3109,0.0746
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,50.1405,0.2747
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,10.558,3.9613
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,5.0736,0.4149
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,2.7912,0.3258
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,10.4022,0.1753
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,20.037,0.5229
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,138.3,0.4272
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,3.62,0.3709
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,1242.18,4.5569
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,1273.77,3.8441
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,373.5,1.066
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,47.1391,3.9242
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.6013,28.5849
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,45.4502,9.5123
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,18.45,10.5878
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,10.7719,1.8442
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,35.494,9.1035
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,11.0207,0.0623
