@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630,1.053282,1840,592.5,0.010986,0.282784
adder-10-unsat-shuffled,1,3.134015,1630,0.377808,1858,761.5,0.001096,0.170238
adder-12-sat-shuffled,1,3.16967,2364,1.053268,2664,861,0.009067,0.264487
adder-12-unsat-shuffled,1,3.151899,2364,0.377757,2686,1100,0.000754,0.152968
adder-14-sat-shuffled,1,3.179945,3234,1.053205,3640,1179.5,0.007719,0.248711
adder-14-unsat-shuffled,1,3.164484,3234,0.377683,3666,1500.5,0.00055,0.138979
adder-16-unsat-shuffled,1,3.173822,4240,0.377608,4798,1963,0.000419,0.127387
Adder2-10-s-shuffled,1,1.313716,7829,0.217819,7969,2474.666667,0.726821,0.79594
Adder2-4-s-shuffled,1,1.300598,1139,0.214947,1171,361.666667,0.72669,0.796548
Adder2-6-c-shuffled,1,1.308137,2695,0.144914,2765,651.5,0.726373,0.797047
Adder2-6-s-shuffled,1,1.308137,2705,0.216597,2765,856.666667,0.726783,0.79617
adder-4-sat-shuffled,1,3,244,1.049057,280,87,0.030189,0.370044
adder-6-sat-shuffled,1,3.091049,570,1.052423,648,205.5,0.019063,0.331842
adder-8-sat-shuffled,1,3.131849,1032,1.053136,1168,374,0.013937,0.30458
adder-8-unsat-shuffled,1,3.106599,1032,0.377768,1182,485,0.001737,0.192241
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700,0.306905,454,177,0.530691,0.681185
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583,0.360902,376,138,0.506767,0.670363
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843,0.317073,496,198,0.52492,0.679395
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732,0.359375,422,161,0.50601,0.670968
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219,0.367626,560,230,0.504317,0.668912
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142,0.369092,824,362,0.498561,0.667948
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134,0.370066,822,361,0.501645,0.668132
