@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,41709,42000,84,0,53.1653,0.0006,52,64.9,0.0006,59.8,479.188,148.318,2150,2085,9752,2129.09
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,41760,42000,86,0,54.1613,0.0007,52.5,69.2857,0.0006,59.4762,347.765,158.52,2159,2091,9769,2127.88
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,7120,7120,29.3166,0.0111,28.5736,0.0875,28.372,29.3166,0.0111,28.6203,9.7683,9.6097,14,10,80,13.7119
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,15027,17354,36.8853,0.0001,29.8539,0.0021,28.5176,36.3352,0.0013,30.6136,82.7872,61.6392,1005,978,4798,1004.05
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17000,17000,59.0669,0.0117,57.5305,0.035,58.1688,59.0669,0.0117,59.0669,17.7512,18.056,33,27,200,33.4572
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,8010,8010,32.4942,0.0111,31.4722,0.0778,31.3501,32.4942,0.0111,31.4809,10.5497,10.4131,15,12,90,15.3671
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,2343,2343,25.9397,0.0431,24.9297,0.0455,25.2758,25.9397,0.0457,25.4522,9.6703,8.7044,22,18,110,21.9929
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,2343,2343,26.2152,0.0431,25.2032,0.0455,25.4038,26.2152,0.0456,26.0166,10.0267,9.0747,22,17,110,21.9697
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,54263,54600,104.1667,0.0001,59.369,0.0005,59.1429,76.5,0.0005,66.7,580,541.35,2759,2674,12681,2632
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4450,4450,20.2036,0.011,19.7719,0.14,19.7117,20.2036,0.011,19.758,6.8891,6.3715,9,6,50,8.835
