@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891
adder-10-unsat-shuffled,1,3.134015
adder-12-sat-shuffled,1,3.16967
adder-12-unsat-shuffled,1,3.151899
adder-14-sat-shuffled,1,3.179945
adder-14-unsat-shuffled,1,3.164484
adder-16-unsat-shuffled,1,3.173822
Adder2-10-s-shuffled,1,1.313716
Adder2-4-s-shuffled,1,1.300598
Adder2-6-c-shuffled,1,1.308137
Adder2-6-s-shuffled,1,1.308137
adder-4-sat-shuffled,1,3
adder-6-sat-shuffled,1,3.091049
adder-8-sat-shuffled,1,3.131849
adder-8-unsat-shuffled,1,3.106599
aim-100-1_6-yes1-3-50-shuffled,1,1.722467
aim-100-1_6-yes1-3-90-shuffled,1,1.768617
aim-100-2_0-yes1-2-50-shuffled,1,1.90121
aim-100-2_0-yes1-2-90-shuffled,1,1.971564
aim-100-3_4-yes1-1-90-shuffled,1,2.482143
aim-100-6_0-yes1-1-90-shuffled,1,2.951456
aim-100-6_0-yes1-3-90-shuffled,1,2.958637
aim-100-6_0-yes1-4-90-shuffled,1,2.952555
aim-200-1_6-yes1-2-90-shuffled,1,1.762467
aim-200-1_6-yes1-4-90-shuffled,1,1.757853
aim-200-2_0-yes1-2-90-shuffled,1,1.971564
aim-200-3_4-yes1-1-90-shuffled,1,2.479893
aim-200-3_4-yes1-4-90-shuffled,1,2.475045
aim-50-1_6-yes1-1-00-shuffled,1,1.683453
aim-50-1_6-yes1-1-90-shuffled,1,1.771277
aim-50-1_6-yes1-2-00-shuffled,1,1.679856
aim-50-1_6-yes1-2-50-shuffled,1,1.715517
aim-50-1_6-yes1-3-00-shuffled,1,1.676259
aim-50-1_6-yes1-4-50-shuffled,1,1.716814
aim-50-1_6-yes1-4-90-shuffled,1,1.760638
aim-50-2_0-yes1-1-90-shuffled,1,1.971429
aim-50-2_0-yes1-2-50-shuffled,1,1.896825
aim-50-2_0-yes1-3-90-shuffled,1,1.980952
aim-50-3_4-yes1-2-90-shuffled,1,2.492806
aim-50-3_4-yes1-3-90-shuffled,1,2.485714
aim-50-6_0-yes1-3-50-shuffled,1,2.851259
