@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0,0.2387,3.1176
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0,0.135,2.4849
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0,0.0097,0.9857
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0,0.4831,4.1231
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0,0.2206,3.6748
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0,0.0194,0.8461
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0,0.1713,2.8827
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0014,0.3855,3.9796
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.4428,4.0721
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0,0.1568,2.1233
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0,0.1168,2.0429
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0,0.0441,1.302
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0,0.2388,3.1522
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0003,0.147,1.9719
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0007,0.221,2.8825
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0.2625,2.8426
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0,0.0735,1.9442
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0758,0.3877,1.471
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,0.5002,4.0238
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0,0.5141,4.0371
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0,0.1496,3.0198
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0,0.22,3.5936
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0,0.2652,2.8925
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0,0.0915,1.6082
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0,0.5141,4.0371
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0,0.0509,1.782
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0,0.061,2.0203
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0,0.0501,1.7705
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.0003,0.4263,1.6649
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.2637,2.898
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0,0.0726,2.7564
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0,0.2625,2.821
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0,0.2522,3.0944
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0,0.2178,3.2658
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0,0.3373,4.0219
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0,0.0205,0.9718
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0,0.061,1.6455
SAT_RACE2008/post-c32s-ss-8.cnf,1,0,0.19,1.76
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0,0.0314,1.8364
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,0,0.3658,3.1041
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,0,0.1729,2.7152
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0,0.1711,2.9052
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.6857,0.5229,0.3614
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0,0.1386,2.4435
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.0096,0.2882,2.6677
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,0,0.1777,3.3454
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0,0.0227,1.6787
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,0,0.1757,2.9405
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,0,0.2463,3.0643
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0,0.1969,2.8303
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0,0.1862,2.8716
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0,0.4607,4.0488
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0,0.2707,2.8848
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,0,0.0949,2.6334
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.0006,0.2881,2.6131
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0,0.0496,1.7617
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,0,0.4002,4.2573
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0,0.0776,2.0475
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0,0.2635,2.8612
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.1556,0.0023,0.0896
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,0,0.1403,2.8031
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0,0.3397,3.169
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0,0.3978,4.037
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,0,0.1107,1.7922
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0,0.1974,2.3483
