@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,5.7878,0.009,0.4947,0.4946,0.4944
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,9705,0.6075,0.1626,0.0576,0.007
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,66.1096,0.8609,0.0334,0.0148,0
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,16.041,2.5476,0.4999,0.4995,0.4909
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,11.7438,0.1369,0,0,0
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,1.0687,0,0.3207,0.3197,0.3145
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,27.3511,0.2605,0,0,0
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,130.764,1.0494,0.2564,0.028,0.0206
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,12.2429,0.187,0,0,0
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,14.0495,0.8565,0.0222,0.011,0.0043
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,1019.67,0.2047,0,0,0
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,4.3879,0.4506,0.2295,0.2295,0.2295
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,94,0.4533,0.0119,0.0085,0.0038
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0013,0.682,0.0046,0.0046,0.0046
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,5.1343,0.4109,0.0982,0.0655,0.0218
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,11.5888,0,0.042,0.042,0.042
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,3.1994,0,0.3832,0.3831,0.3831
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,32.0559,0.2874,0,0,0
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,190.561,0.6154,0.0697,0.0665,0.0548
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,1.7432,1.54,0.4675,0.4293,0.361
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,24.5971,0.9833,0.0413,0.0269,0.0033
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1.0871,0,0.3225,0.3217,0.314
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,1.0062,0.3326,0.373,0.3662,0.3222
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,13.1448,1.091,0.0398,0.0345,0.0262
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,2.8108,0,0.3832,0.3831,0.3831
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,11.5101,0,0.0005,0.0005,0.0005
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,1.0426,0.3798,0.3717,0.3644,0.3186
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,2,0.5281,0.2006,0.1925,0.185
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,702.467,0.5976,0,0,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,10.3624,0.8195,0.0126,0.0006,0.0001
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,39.9026,0.0833,0.0612,0.0342,0.0189
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,47.92,0.7105,0.0242,0.01,0.006
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,3.1705,1.9367,0.4715,0.4376,0.3746
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,558.617,0.2045,0,0,0
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,13.9409,2.5446,0.4999,0.4996,0.4947
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,22.6881,0.7151,0.5,0.4948,0
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,1.0314,1.0012,0.3303,0.2757,0.2654
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,39.3098,0.2884,0,0,0
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,16.0699,0,0.0846,0.0784,0.0692
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,8.4398,0.4854,0.3887,0.3853,0.3418
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,23.9907,0.2807,0,0,0
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,4.0595,0.6664,0.1601,0.0828,0.0193
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,25.4457,0.8437,0.119,0.1042,0.0923
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0,0.7761,0.3429,0.3429,0.3429
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,3.6927,0.4506,0.2295,0.2295,0.2295
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.1661,0.6857,0.006,0.006,0.006
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,1.005,0.3424,0.1608,0.1608,0.1562
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,93,0.1905,0,0,0
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,46.9875,0.2157,0,0,0
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,15.0514,2.5543,0.4999,0.4995,0.4923
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,47.5758,2.0397,0.4991,0.496,0.4735
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,1128.64,0.5858,0.3496,0.2689,0.1988
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,1.0765,0,0.3214,0.3199,0.3132
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,63.9048,0.4845,0.0089,0.0012,0.0006
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,23.9902,1.0891,0.0455,0.0454,0.012
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,23.2316,0.9131,0.1201,0.1044,0.0894
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,48.6203,0.2129,0,0,0
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,20.8071,0.1332,0,0,0
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,36.7651,1.0969,0.1709,0.0215,0.0122
