@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE group-same-min NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.6,0
BF1_cpmp_16_5_48_10_29_12,1,4.55556,0
BF1_cpmp_16_5_48_10_29_14,1,4.3,0
BF1_cpmp_16_5_48_10_29_15,1,3.5,0
BF1_cpmp_16_5_48_10_29_17,1,4.66667,0
BF1_cpmp_16_5_48_10_29_18,1,4.5,0
BF1_cpmp_16_5_48_10_29_19,1,5.33333,0
BF1_cpmp_16_5_48_10_29_20,1,4.9,0
BF1_cpmp_16_5_48_10_29_3,1,4.33333,0
BF1_cpmp_16_5_48_10_29_4,1,5,0
BF1_cpmp_16_5_48_10_29_5,1,5,0
BF1_cpmp_16_5_48_10_29_6,1,3.91667,0
BF1_cpmp_16_5_48_10_29_7,1,4.3,0
BF1_cpmp_16_5_48_10_29_8,1,4.55556,0
BF1_cpmp_16_5_48_10_29_9,1,4.66667,0
BF10_cpmp_16_8_77_16_58_13,1,8,0
BF10_cpmp_16_8_77_16_58_3,1,6.9,0
BF10_cpmp_16_8_77_16_58_8,1,6.1,0
BF11_cpmp_16_8_77_31_47_10,1,11.8333,0
BF11_cpmp_16_8_77_31_47_11,1,10.8667,0
BF11_cpmp_16_8_77_31_47_16,1,10.2857,0
BF11_cpmp_16_8_77_31_47_6,1,12.5,0
BF11_cpmp_16_8_77_31_47_7,1,11.7333,0
BF12_cpmp_16_8_77_31_58_14,1,14.1667,0
BF17_cpmp_20_5_60_12_36_1,1,6.36364,0
BF17_cpmp_20_5_60_12_36_10,1,6,0
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0
BF17_cpmp_20_5_60_12_36_12,1,5.23077,0
BF17_cpmp_20_5_60_12_36_15,1,5.92308,0
BF17_cpmp_20_5_60_12_36_16,1,5.53846,0
BF17_cpmp_20_5_60_12_36_17,1,5.46154,0
BF17_cpmp_20_5_60_12_36_2,1,5.25,0
BF17_cpmp_20_5_60_12_36_20,1,6.07143,0
BF17_cpmp_20_5_60_12_36_3,1,5.30769,0
BF17_cpmp_20_5_60_12_36_4,1,4.45455,0
BF17_cpmp_20_5_60_12_36_5,1,5.73333,0
BF17_cpmp_20_5_60_12_36_6,1,5,0
BF17_cpmp_20_5_60_12_36_7,1,5.54545,0
BF17_cpmp_20_5_60_12_36_8,1,4.93333,0
BF18_cpmp_20_5_60_12_45_1,1,5.92857,0
BF18_cpmp_20_5_60_12_45_12,1,5.33333,0
BF18_cpmp_20_5_60_12_45_13,1,6.41667,0
BF18_cpmp_20_5_60_12_45_14,1,7.30769,0
BF18_cpmp_20_5_60_12_45_15,1,5.33333,0
BF18_cpmp_20_5_60_12_45_16,1,5.83333,0
BF18_cpmp_20_5_60_12_45_17,1,5.92308,0
BF18_cpmp_20_5_60_12_45_18,1,6.58333,0
BF18_cpmp_20_5_60_12_45_19,1,6.69231,0
BF18_cpmp_20_5_60_12_45_2,1,7.08333,0
BF18_cpmp_20_5_60_12_45_3,1,5.25,0
BF18_cpmp_20_5_60_12_45_4,1,5.83333,0
BF18_cpmp_20_5_60_12_45_5,1,5.16667,0
BF18_cpmp_20_5_60_12_45_6,1,6.5,0
BF18_cpmp_20_5_60_12_45_7,1,5.92308,0
BF18_cpmp_20_5_60_12_45_8,1,5.5,0
BF18_cpmp_20_5_60_12_45_9,1,7,0
BF19_cpmp_20_5_60_24_36_1,1,10.1429,0
BF19_cpmp_20_5_60_24_36_10,1,10.8571,0
BF19_cpmp_20_5_60_24_36_11,1,9.4,0
BF19_cpmp_20_5_60_24_36_14,1,8.21429,0
BF19_cpmp_20_5_60_24_36_15,1,7.76923,0
BF19_cpmp_20_5_60_24_36_16,1,9.23077,0
BF19_cpmp_20_5_60_24_36_17,1,8.36364,0
BF19_cpmp_20_5_60_24_36_18,1,10.0769,0
BF19_cpmp_20_5_60_24_36_2,1,10.1667,0
BF19_cpmp_20_5_60_24_36_20,1,8.54545,0
BF19_cpmp_20_5_60_24_36_3,1,10.0714,0
BF19_cpmp_20_5_60_24_36_5,1,10.75,0
BF19_cpmp_20_5_60_24_36_6,1,8.58333,0
BF19_cpmp_20_5_60_24_36_7,1,8.63636,0
BF19_cpmp_20_5_60_24_36_8,1,11.2667,0
BF19_cpmp_20_5_60_24_36_9,1,8.84615,0
BF2_cpmp_16_5_48_10_36_1,1,4.8,0
BF2_cpmp_16_5_48_10_36_11,1,4.6,0
BF2_cpmp_16_5_48_10_36_12,1,5,0
BF2_cpmp_16_5_48_10_36_13,1,5.90909,0
BF2_cpmp_16_5_48_10_36_14,1,4.9,0
BF2_cpmp_16_5_48_10_36_15,1,5,0
BF2_cpmp_16_5_48_10_36_17,1,5.45455,0
BF2_cpmp_16_5_48_10_36_18,1,5.4,0
BF2_cpmp_16_5_48_10_36_19,1,5,0
BF2_cpmp_16_5_48_10_36_2,1,5.90909,0
BF2_cpmp_16_5_48_10_36_20,1,5,0
BF2_cpmp_16_5_48_10_36_3,1,4.5,0
BF2_cpmp_16_5_48_10_36_4,1,5.8,0
BF2_cpmp_16_5_48_10_36_5,1,5.4,0
BF2_cpmp_16_5_48_10_36_6,1,4.6,0
BF2_cpmp_16_5_48_10_36_7,1,4.9,0
BF2_cpmp_16_5_48_10_36_8,1,5.2,0
BF2_cpmp_16_5_48_10_36_9,1,5.1,0
BF20_cpmp_20_5_60_24_45_1,1,10.6667,0
BF20_cpmp_20_5_60_24_45_10,1,11.75,0
BF20_cpmp_20_5_60_24_45_11,1,7.53846,0
BF20_cpmp_20_5_60_24_45_12,1,11,0
BF20_cpmp_20_5_60_24_45_13,1,11.5385,0
BF20_cpmp_20_5_60_24_45_14,1,10.8333,0
BF20_cpmp_20_5_60_24_45_15,1,9.66667,0
BF20_cpmp_20_5_60_24_45_17,1,13.6923,0
BF20_cpmp_20_5_60_24_45_2,1,12.0833,0
BF20_cpmp_20_5_60_24_45_20,1,12.5833,0
BF20_cpmp_20_5_60_24_45_3,1,10.6154,0
BF20_cpmp_20_5_60_24_45_5,1,12.6667,0
BF20_cpmp_20_5_60_24_45_6,1,10,0
BF20_cpmp_20_5_60_24_45_7,1,9.33333,0
BF20_cpmp_20_5_60_24_45_8,1,9.41667,0
BF20_cpmp_20_5_60_24_45_9,1,13.1667,0
BF21_cpmp_20_5_80_16_48_11,1,7375,0
BF21_cpmp_20_5_80_16_48_14,1,5.83333,0
BF21_cpmp_20_5_80_16_48_16,1,7.94118,0
BF21_cpmp_20_5_80_16_48_18,1,7.9375,0
BF21_cpmp_20_5_80_16_48_19,1,6.2,0
BF21_cpmp_20_5_80_16_48_2,1,5.9375,0
BF21_cpmp_20_5_80_16_48_3,1,5.66667,0
BF21_cpmp_20_5_80_16_48_4,1,6.76471,0
BF21_cpmp_20_5_80_16_48_5,1,6.82353,0
BF21_cpmp_20_5_80_16_48_7,1,4.86667,0
BF21_cpmp_20_5_80_16_48_8,1,6.8,0
BF21_cpmp_20_5_80_16_48_9,1,6.06667,0
BF22_cpmp_20_5_80_16_60_11,1,8.75,0
BF22_cpmp_20_5_80_16_60_16,1,8.05882,0
BF22_cpmp_20_5_80_16_60_4,1,8.44444,0
BF22_cpmp_20_5_80_16_60_6,1,7.25,0
BF22_cpmp_20_5_80_16_60_7,1,6375,0
BF22_cpmp_20_5_80_16_60_9,1,6.70588,0
BF23_cpmp_20_5_80_32_48_10,1,8.66667,0
BF23_cpmp_20_5_80_32_48_11,1,10.0588,0
BF23_cpmp_20_5_80_32_48_12,1,10.7778,0
BF23_cpmp_20_5_80_32_48_15,1,14.3125,0
BF23_cpmp_20_5_80_32_48_16,1,11.8889,0
BF23_cpmp_20_5_80_32_48_18,1,15.0769,0
BF23_cpmp_20_5_80_32_48_3,1,11.1765,0
BF23_cpmp_20_5_80_32_48_4,1,12.3333,0
BF23_cpmp_20_5_80_32_48_6,1,14.3529,0
BF23_cpmp_20_5_80_32_48_7,1,13.6667,0
BF24_cpmp_20_5_80_32_60_13,1,11.8235,0
BF24_cpmp_20_5_80_32_60_17,1,15125,0
BF24_cpmp_20_5_80_32_60_2,1,14625,0
BF24_cpmp_20_5_80_32_60_8,1,13375,0
BF25_cpmp_20_8_96_20_58_20,1,6875,0
BF26_cpmp_20_8_96_20_72_5,1,9.91667,0
BF27_cpmp_20_8_96_39_58_12,1,15.25,0
BF27_cpmp_20_8_96_39_58_6,1,14.5625,0
BF27_cpmp_20_8_96_39_58_9,1,15.0556,0
BF28_cpmp_20_8_96_39_72_19,1,16.7857,0
BF3_cpmp_16_5_48_20_29_1,1,8.45455,0
BF3_cpmp_16_5_48_20_29_11,1,8.22222,0
BF3_cpmp_16_5_48_20_29_13,1,8.5,0
BF3_cpmp_16_5_48_20_29_14,1,7.33333,0
BF3_cpmp_16_5_48_20_29_16,1,10.1111,0
BF3_cpmp_16_5_48_20_29_19,1,6.6,0
