@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0.0001,0,0.0001,?,?,42,0.0134,0,0.25,0.6862
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.0162,0.0073,0.01,0.1848,0.0476,572,0.0163,0.0369,0.5231,0.8937
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0092,0.0011,0.0016,?,?,729,0.0684,0.0988,0.2734,0.4492
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0165,0.0083,0.0089,?,?,0,0.0571,0,0.3152,0.5612
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.0792,0.0357,0.0718,?,?,2186,0.0287,0.0066,0.4057,0.9745
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.0005,0.0002,0.0002,0.2563,0.0887,327,0.0308,0.0048,0.0347,0.1094
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0142,0.0071,0.0083,?,?,241,0.0797,0.2458,0.0277,0.1491
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0022,0.0012,0.0107,?,?,9,0.1745,0,0.2022,0.4217
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.0199,0.0099,0.0171,?,?,0,0.0924,0,0.4145,0.584
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.0045,0.0016,0.0037,?,?,1687,0.0807,0.0066,0.0911,0.3317
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.001,0.0004,0.0013,?,?,60,0.4008,0,0.1096,0.2083
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0.0033,0.0031,0.0033,?,?,1361,0.0399,0,0.0478,0.1729
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0.0001,0.0001,0.0001,0.1348,0.0254,0,0.0138,0,0.1814,0.6838
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0039,0.0014,0.0029,?,?,281,0.0669,0.0015,0.1316,0.3044
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0196,0.0039,0.0155,?,?,1232,0.0862,0.0143,0.1928,0.6998
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0,0,?,?,0,0.0156,0,0.2523,0.6779
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0112,0.0079,0.0074,0.2817,0.0044,931,0.0377,0.1189,0.0786,0.4262
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0107,0.0104,0.006,?,?,1888,0.0137,0.1435,0.2882,0.6967
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.0002,0.0001,0.0002,0.1555,0.0264,348,0.0155,0,0.1707,0.7248
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.0002,0.0002,0.0002,0.1626,0.027,1368,0.0158,0.7898,0.2094,0.7475
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0068,0.0033,0.0155,?,?,0,0.0485,0,0.3333,0.6257
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.1769,0.31
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0.0097,0.0045,0.008,?,?,0,0.0459,0,0.1626,0.4956
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0.0008,0.0004,0.0008,?,?,748,0.0323,0,0.0162,0.1049
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.0002,0.0001,0.0002,0.1555,0.0264,348,0.0155,0,0.1616,0.5088
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0.0001,0,0.0001,0.1532,0.0246,211,0.0161,0,0.2139,0.6693
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0.0248,0.0038,0.0062,?,?,630,0.0615,0.7914,0.0529,0.5478
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.1679,0.2791
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.0154,0.0059,0.0068,0.3195,0.1679,4157,0.0676,0.0494,0.2701,0.6582
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0.0005,0.0003,0.0005,0.2613,0.0227,198,0.0543,0,0.0509,0.0917
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0114,0.0044,0.005,0.317,0.1679,3760,0.068,0.047,0.2395,0.5707
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.0004,0.0004,0.0006,?,?,0,0.0354,0,0.1729,0.3538
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.0001,0,0.0001,0.1507,0.0258,0,0.0158,0,0.2672,0.6851
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0001,0,0.0001,?,?,0,0.2415,0,0.0777,0.1476
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.0001,0,0.0001,?,?,0,0.0159,0,0.1765,0.739
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0.0002,0.0002,0.0002,0.1626,0.027,1368,0.0158,1.3492,0.189,0.6668
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0.0049,0.0018,0.0052,?,?,0,0.2014,0,0.083,0.2778
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.0062,0.0059,0.0062,?,?,0,0.1099,0,0.1742,0.5053
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.0005,0.0002,0.0002,0.2765,0.1026,461,0.0312,0,0.0322,0.0847
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0.0022,0.0008,0.0014,?,?,1239,0.037,0.4003,0.0745,0.7265
SAT_RACE2008/post-c32s-ss-8.cnf,1,0.003,0.002,0.0089,0.1276,0.0048,693,0.0658,0.0913,0.1027,0.3483
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0011,0.0006,0.0008,?,?,0,0.0436,0.1743,0.2476,0.5508
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,0.0041,0.0039,0.0116,?,?,1901,0.0629,0.0567,0.0712,0.5842
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,0.0031,0.0014,0.002,?,?,391,0.0744,0,0.0281,0.104
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.0086,0.0041,0.0065,?,?,388,0.0786,0.1506,0.0333,0.1622
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.0046,0.0045,0.0026,?,?,4017,0,0.0003,0.7709,0.9343
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.016,0.0072,0.0099,0.1876,0.0474,582,0.0178,0.023,0.5193,0.9045
